,titulo,descricao_do_recurso,tipo_de_recurso
10, Mudanças Ambientais Globais - As Mudanças Climáticas, Contém documentário que <VIRGULA> a partir de imagens contextualizadas <VIRGULA> contribui para que o usuário entenda que fatores estão envolvidos nas mudanças e no comportamento do meio ambiente. Este recurso <VIRGULA> desenvolvido por meio do Programa AEB Escola <VIRGULA> apresenta a questão ambiental nos dias de hoje <VIRGULA> a responsabilidade da sociedade moderna e as grandes ameaças ambientais conhecidas. Também apresenta um histórico sobre o efeito estufa e suas possíveis consequências <VIRGULA> bem como as iniciativas que visam reduzir os seus impactos serão apresentadas <VIRGULA> como é o caso do Protocolo de Quioto. E por fim <VIRGULA> discute como o Brasil se situa nesta questão e qual a contribuição que ele pode dar ao mundo, Animação/simulação
11, Calorimetria : Entre o local e o global - Parte II, Cleber e Mariana Brasil estão em casa. Faz calor <VIRGULA> e que calor! O Professor Galileo Lattes (avatar do autor) está na sala de aula <VIRGULA> terminando de escrever no quadro: ‘AQUECIMENTO GLOBAL’. Os jovens refletem a respeito das questões relacionadas ao meio ambiente <VIRGULA> quando resolvem se dirigir à escola e encontram Galileo <VIRGULA> que começa a considerar as causas e efeitos do chamado ‘efeito estufa’. O diálogo segue para a Rádio atrito e o assunto é socialmente compartilhado <VIRGULA> com outros colegas que <VIRGULA> por sua vez <VIRGULA> apresentam seus questionamentos a respeito assunto, Áudio
12, A física e o cotidiano: Eletricidade, Audiovisual que aborda os principais aspectos que envolvem os estudos sobre Eletricidade. O primeiro episódio engloba carga elétrica <VIRGULA> suas propriedades e eletrização <VIRGULA> campo elétrico e linhas de força. O episódio segundo trata de temas como energia potencial elétrica <VIRGULA> potencial elétrico <VIRGULA> movimento e distribuição de carga <VIRGULA> capacitores e associação de capacitores. O terceiro aborda os assuntos de corrente elétrica <VIRGULA> resistência elétrica <VIRGULA> condutores <VIRGULA> isolantes e semicondutores <VIRGULA> lei de Ohm <VIRGULA> geradores e receptores <VIRGULA> potência elétrica <VIRGULA> efeito Joule e circuitos. Para exemplificar <VIRGULA> será utilizada a instalação elétrica de uma casa <VIRGULA> assim como alguns dos seus itens (lâmpadas <VIRGULA> eletrodomésticos etc), Vídeo
13, A física e o cotidiano: O que é Física e para que serve, A mídia aborda em linhas gerais os fundamentos da Física e como ela pode ajudar na compreensão da vida e da sociedade. Mostra que a Física <VIRGULA> além de buscar a compreensão dos fenômenos naturais <VIRGULA> está intimamente relacionada com os avanços científicos e tecnológicos que povoam o nosso cotidiano. A própria dinâmica social está impregnada de situações que resgatam e reforçam <VIRGULA> através de analogias e livre associação <VIRGULA> alguns conceitos tratados pela Física. Partindo do diálogo entre colegas de escola <VIRGULA> a mídia vai mostrando como a Física está imbricada com o nosso cotidiano e outras áreas do conhecimento <VIRGULA> destacando a importância de compreendê-la, Áudio
14, Nanotecnologia e cosméticos: Inovações – Parte 1, A realização dos projetos em nanotecnologia pelo Centro Multidisciplinar para o Desenvolvimento de Materiais Cerâmicos (CMDMC) e pelo Instituto Nacional de Ciência e Tecnologia dos Materiais em Nanotecnologia (INCTMN) envolve o apoio das seguintes instituições: Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) <VIRGULA> Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) <VIRGULA> Universidade Estadual Paulista Júlio Mesquita Filho (Unesp) <VIRGULA> Universidade de São Paulo (USP) <VIRGULA> Universidade Federal de São Carlos (UFSCar) <VIRGULA> Instituto de Pesquisas Energéticas e Nucleares (IPEN) e Laboratório Interdisciplinar de Eletroquímica e Cerâmica (LIEC). Os projetos contam ainda com colaboradores de várias universidades e institutos de pesquisa <VIRGULA> do Brasil e do exterior. Os resultados destes trabalhos contribuíram com um aumento no índice de publicações internacionais de artigos científicos pelo Brasil, Vídeo
15, Operação :ESTOURO DA PIPOCA, A simulação trabalha as relações entre pressão e temperatura no estouro de pipocas <VIRGULA> em diferentes condições de pressão atmosférica. O aluno escolhe o local onde deseja fazer a sua experiência: litoral ou montanhas <VIRGULA> onde as condições de pressão atmosférica são diferentes. Este Objeto de Aprendizagem oferece ao aluno atividades interativas onde ele pode escolher os parâmetros e observar o que acontece com as pipocas em diferentes condições de umidade <VIRGULA> temperatura e pressão internas. As pipocas são soldados que cumprem tarefas conforme suas condições físicas. Deste modo <VIRGULA> um grão de milho de pipoca com baixa umidade interna ou seca <VIRGULA> não tem condição de pressão interna suficiente para vencer a resistência da casca e da pressão externa ao grão. Ou seja <VIRGULA> não estoura. Do mesmo modo um grão furado também não estoura <VIRGULA> pois a pressão interna não aumenta com o aumento da temperatura, Animação/simulação
16, Mecânica: A ciência dos movimentos, Cleber Brasil faz proezas mecânicas sobre seu skate <VIRGULA> enquanto o Professor Galileo Lattes (avatar do autor) dialoga com Mariana Brasil na Rádio Atrito. As situações vivenciadas através de imagética <VIRGULA> com ênfase na fenomenologia da Mecânica vão sendo comentadas por Galileo <VIRGULA> com a participação de Mariana. Faz-se menção e vínculos com a Mecânica Quântica <VIRGULA> adentrando-se o mundo subatômico <VIRGULA> contando-se com breve histórico de pesquisas do físico brasileiro Cesar Lattes e a descoberta do méson-pi. A integração das ações à imagética <VIRGULA> com o discurso lógico da física <VIRGULA> propõe um ambiente de inquietação e provocação ao participante, Vídeo
17, Estação de tratamento de águas residuárias - Filtro biológico, A imagem apresenta um filtro biológico de uma estação de tratamento de esgotos. O filtro biológico (também conhecido como leito percolador) é constituído de um leito que pode ser de pedras <VIRGULA> ripas ou material sintético. O efluente é lançado sobre o filtro por meio de braços rotativos e percola através das pedras (ou outro material) formando sobre estas uma película de bactérias. O esgoto passa rapidamente pelo leito em direção ao dreno de fundo <VIRGULA> porém a película de bactérias absorve a matéria orgânica e faz sua digestão <VIRGULA> diminuindo desta maneira a carga de poluição orgânica do esgoto. A seguir <VIRGULA> o efluente tratado segue para o decantador secundário, Imagem
18, Tangrans Pitagóricos Concretos e Virtuais, Apresenta-se a construção <VIRGULA> por meio de materiais concretos <VIRGULA> de 2 artefatos articulados modeladores de situações que levam a representações da generalização do Teorema de Pitágoras <VIRGULA> para o caso de figuras planas diferentes do quadrado. Apresenta-se também a construção das peças de 4 jogos geométricos planos do tipo quebra-cabeças: Tangram Pitagórico com Quadrados <VIRGULA> com Triângulos <VIRGULA> com Polígonos Quaisquer e com Semicírculos. A cada jogo ou artefato está relacionada uma atividade que permite ao aluno descobrir o teorema e relacioná-lo a uma forma geométrica diferente. As atividades são complementadas por 4 jogos eletrônicos <VIRGULA> sendo que 3 deles são acompanhados de um termômetro virtual <VIRGULA> indicador da adequação dos movimentos e encaixes realizados pelo jogador. Das atividades consta também um desafio com uma aplicação dos conceitos envolvidos e ainda reflexões importantes sobre o teorema <VIRGULA> as quais permitem a constatação de relações históricas e inferências lógicas <VIRGULA> bem como de aplicações lingüísticas no cotidiano de nossos dias. No guia do professor <VIRGULA> são apresentadas indicações para aplicação dos jogos a alunos portadores de deficiência visual <VIRGULA> bem como considerações sobre o processo de aproximação de curvas criado por Eudóxo e conhecido desde o tempo da antiga Grécia como método de aproximação por exaustão, Experimento prático
19, Os Curiosos – Gravidade, Esta atividade irá abordar o tema “gravidade” e apresentar algumas propriedades oscilatórias e de queda livre. A contextualização dessa temática ocorrerá mediante uma atividade proposta a duas equipes de curiosos. O desafio proposto aos estudantes será calcular um valor aproximado da aceleração gravitacional da Terra <VIRGULA> com o auxilio de algumas atrações de um parque de diversões. A equipe vermelha calculou o valor da aceleração gravitacional através da frequência oscilatória de um pêndulo <VIRGULA> para isso <VIRGULA> os estudantes utilizaram a atração “Hadikali” <VIRGULA> que simula um vôo de asa-delta em movimentos oscilatórios que podem chegar a 120Km/h <VIRGULA> em seguida <VIRGULA> demonstraram que a massa (no caso os próprios estudantes) não interfere no período de oscilação do sistema. A equipe azul calculou o valor da aceleração gravitacional através da medida de tempo de pequenos objetos em queda livre <VIRGULA> para isso <VIRGULA> os estudantes utilizaram a atração “La Tour Eiffel” <VIRGULA> que proporciona quedas de 69 metros de altura e que podem chegar a 94 Km/h. Como a descida é muito rápida <VIRGULA> os estudantes utilizaram uma câmera de vídeo <VIRGULA> onde 1 segundo de filmagem tem 30 quadros <VIRGULA> para facilitar as medições temporais e deixar o experimento um pouco mais preciso. Nessas situações <VIRGULA> as equipes e o físico estarão problematizando e discutindo o conceito de gravidade, Vídeo
20, Tarcísio Holanda [Memória Política], Apresenta o documentário \Memórias de Tarcísio: o repórter\ <VIRGULA> dirigido por Roberto Stefanelli <VIRGULA> sobre o jornalista Tarcísio Holanda. Nesse documentário Tarcísio conta o início de sua carreira no jornalismo <VIRGULA> fala sobre o governo de Jango (João Goulart) e o golpe militar. Ele comenta vários fatos que ocorreram no período da ditadura: os atos institucionais (AI) <VIRGULA> as ideias e a morte de Castelo Branco <VIRGULA> o assassinato de Rubens Paiva <VIRGULA> a abertura política de Ernesto Geisel <VIRGULA> a relaçao do General Figueiredo com o atentado ao Riocentro e seu atrito com o vice Aureliano Chaves, Vídeo
21, Física quântica - Modelos atômicos, Desenvolver habilidades para relacionar aspectos do entorno social à fenomenologia da física <VIRGULA> vencendo expectativas meramente propedêuticas; desenvolver a capacidade para delinear o contorno de problemas e buscar <VIRGULA> por via investigativa <VIRGULA> suas possíveis soluções; elaborar intelectualmente a modelagem do conhecimento <VIRGULA> ou sua produção <VIRGULA> à medida que ao serem apresentados problemas <VIRGULA> de forma contextualizada <VIRGULA> o usuário é convidado/desafiado a resolvê-los; oportunizar uma maior abrangência dos aspectos tecnológicos relacionados ao desenvolvimento da física <VIRGULA> sem perder a vista sua historicidade. Quanto aos objetivos específicos <VIRGULA> esta plataforma de aprendizagem explora a necessidade da elaboração de um modelo para a estrutura do átomo baseado em resultados experimentais do final do século XIX e início do século XX. Os resultados para o espalhamento de partículas alfa por finas folhas de metal levaram Rutherford a sugerir o modelo onde um núcleo positivo é orbitado por elétrons. O sucesso do modelo é explorado no sentido de evidenciar a existência do núcleo atômico <VIRGULA> porém também mostra que o modelo é incompleto já que não explica o comportamento dos elétrons . Os exercícios exploram o procedimento realizado para obter as evidências experimentais da existência do núcleo através do espalhamento de partículas alfa <VIRGULA> bem como permite abordar conceitos relativos à variação da quantidade de movimento de uma partícula carregada ao interagir com um campo elétrico., Animação/simulação
22, Nanoarte 2 – Dança da Natureza, A realização dos projetos em nanotecnologia pelo Centro Multidisciplinar para o Desenvolvimento de Materiais Cerâmicos (CMDMC) e pelo Instituto Nacional de Ciência e Tecnologia dos Materiais em Nanotecnologia (INCTMN) envolve o apoio das seguintes instituições: Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) <VIRGULA> Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) <VIRGULA> Universidade Estadual Paulista Júlio Mesquita Filho (Unesp) <VIRGULA> Universidade de São Paulo (USP) <VIRGULA> Universidade Federal de São Carlos (UFSCar) <VIRGULA> Instituto de Pesquisas Energéticas e Nucleares (IPEN) e Laboratório Interdisciplinar de Eletroquímica e Cerâmica (LIEC). Os projetos contam ainda com colaboradores de várias universidades e institutos de pesquisa <VIRGULA> do Brasil e do exterior. Os resultados destes trabalhos contribuíram com um aumento no índice de publicações internacionais de artigos científicos pelo Brasil, Vídeo
23, “Hora do Debate”<VIRGULA> Campanhas de prevenção contra DSTs: Linguagem em alerta - “A língua<VIRGULA> a ciência e a produção de efeitos de verdade” - bloco 2, Os conteúdos desenvolvidos neste recurso estão relacionados com o conjunto dos assuntos abordados nas atividades do site educacional correspondentes ao episódio 1 - “A língua <VIRGULA> a ciência e a produção de efeitos de verdade” do programa de áudio “Hora do Debate” <VIRGULA> cuja relação aparece a seguir <VIRGULA> razão pela qual recomenda-se trabalhar com os alunos também esses softwares educacionais. 1-Ciência <VIRGULA> mídia e sociedade (escolha léxical <VIRGULA> temporalidade) 2-Lendo textos de Divulgação Científica (aspas <VIRGULA> expressões que introduzem reformulações <VIRGULA> como “ou seja” e citações como “conforme diz X <VIRGULA> analogias e metáforas) 3-Interpretando textos polêmicos (negação <VIRGULA> inversão <VIRGULA> topicalização) 4-Tabu e eufemismos na linguagem (elipse <VIRGULA> léxico <VIRGULA> eufemismos) 5-Condições de produção e interpretação de texto (paráfrases e versões de um tema em diferentes momentos históricos) 6-Modos de dizer e seus efeitos de verdade (modos verbais <VIRGULA> advérbios de modo <VIRGULA> orações impessoais e passivas <VIRGULA> verbos de opinião e reforçadores como “é isso mesmo”), Áudio
24, Modelando e visualizando poliedros de mesmo volume, Apresenta-se um conjunto de tarefas envolvendo a construção e observação de dois tipos de modelos de poliedros: o tipo esqueleto de arestas <VIRGULA> construído com canudos plásticos amarrados com fio de linha <VIRGULA> e o tipo casca <VIRGULA> que modela o poliedro representando as suas faces <VIRGULA> construído com papelão <VIRGULA> acetato ou outro material plástico semirrígido de baixo custo. Apresenta-se como o esqueleto das arestas de um tetraedro regular pode ser decomposto em outros esqueletos de poliedros menores <VIRGULA> dando origem ao seu dual. Essa decomposição é representada em três aparelhos do tipo móbile <VIRGULA> sendo que <VIRGULA> cada um deles mostra as partes em que o tetraedro regular é desmembrado por meio de cortes planos. Além disso <VIRGULA> cada etapa do móbile pode ser reproduzida por meio de peças tridimensionais como em um jogo do tipo quebra-cabeça <VIRGULA> representando modelos do tipo casca dos poliedros obtidos da decomposição. Apresentam-se as instruções (incluindo animações <VIRGULA> esquemas gráficos e fotos) para a construção dos três móbiles e quebra-cabeças <VIRGULA> bem como um questionário de desafios para acompanhamento ou avaliação do aluno. No guia do professor <VIRGULA> são apresentadas complementações metodológicas sobre a importância pedagógica da aplicação desses materiais e uma descrição das características geométricas de cada móbile, Experimento prático
25, Fernando Lyra [Memória política], Apresenta documentário onde o advogado Fernando Soares Lyra <VIRGULA> que nasceu em Caruaru <VIRGULA> Pernambuco <VIRGULA> conta sua vida política. Fala sobre a fundação do Grupo Autêntico do então Movimento Democrático Brasileiro (MDB) <VIRGULA> sua atuação na Câmara e seu apoio a candidatura de Tancredo Neves à Presidência da República. Fernando Lyra conta como foi a votação da Emenda Constitucional Dante de Oliveira pelo Congresso. Ele fala sobre sua nomeação para Ministro de Estado da Justiça <VIRGULA> sobre o governo de José Sarney <VIRGULA> a censura do período <VIRGULA> e sobre a experiência de ser corregedor da Câmara, Vídeo
26, O Pasquim: a subversão do humor [Documentários], Apresenta episódio do documentário sobre o jornal Pasquim. Trata de como foi a formação do jornal <VIRGULA> inserido em um contexto histórico de ditadura. Traz entrevista de vários colaboradores do jornal como Jaguar <VIRGULA> Ziraldo <VIRGULA> Sérgio Cabral <VIRGULA> Luiz Carlos Maciel <VIRGULA> Marta Alencar <VIRGULA> Miguel Paiva <VIRGULA> Claudius <VIRGULA> Sérgio Augusto <VIRGULA> Reinaldo <VIRGULA> Hubert <VIRGULA> Angeli <VIRGULA> Chico Caruso <VIRGULA> Washington Olivetto e Zélio. Através das entrevistas é retratado como os colaboradores do jornal lidavam com a censura <VIRGULA> prisões dos colaboradores e o sucesso de tiragens do jornal. Aborda o período em que o jornal foi produzido por voluntários e a escassez dos anunciantes. Mostra a admiração e influência do jornal em personalidades brasileiras, Vídeo
27, Raça humana [Documentários], Apresenta o documentário Raça Humana. Trata sobre o tema das cotas para negros em universidades. No período de três meses <VIRGULA> uma equipe da TV Câmara acompanhou cotistas na Univertsidade de Brasília. O documentário aborda a opinião de alunos cotistas e não-cotistas <VIRGULA> professores <VIRGULA> movimentos organizados <VIRGULA> partidos políticos e representantes da instituição <VIRGULA> que falam abertamente sobre o “tabu” das cotas raciais <VIRGULA> seja defendendo ou condenando o sistema. Trata da votação do Estatuto da Igualdade Racial <VIRGULA> em tramitação no Congresso. Revela que o sistema de cotas da UnB está sendo contestado no Supremo Tribunal Federal pelo partido Democratas e terá seu futuro definido em 2010 <VIRGULA> esta decisão a ser tomada pela Corte vai valer para todas as universidades que adotem algum tipo de cota racial em seus vestibulares, Vídeo
28, Orçamento Brasil: LDO [Economia documentários], Apresenta o episódio do programa sobre LDO <VIRGULA> lei de diretrizes orçamentárias. O vídeo primeiramente traz a importância do planejamento do orçamento público <VIRGULA> para o devido controle de gastos e finanças. Mostra quais os tipos de decisões que a Lei de Diretrizes Orçamentárias deve conter <VIRGULA> como gastar o orçamento anual <VIRGULA> principais metas do orçamento do País <VIRGULA> que políticas públicas terão prioridade na definição de gastos. Explica o processo de elaboração da LDO <VIRGULA> a reivindicação de recursos de cada órgão do governo ao Ministério do Planejamento até a análise da proposta pelo Congresso Nacional, Vídeo
29, Latitude e Longitude: Representando Pontos na Superfície da Terra, Applet JAVA produzido no projeto de iniciação científica “Visualização Científica: Deformações em Mapas Cartográficos” (PIBIC/PROPP-UFF) <VIRGULA> sob orientação de Humberto Bortolossi. Ele permite esclarecer o conceito de latitude e longitude <VIRGULA> bem como visualizar os vários elementos geográficos do globo terrestre. Mais ainda: para cada país <VIRGULA> existe um link correspondente para a enciclopédia Wikepédia <VIRGULA> permitindo assim que o usuário tenha rápido acesso a dados históricos <VIRGULA> políticos <VIRGULA> econômicos <VIRGULA> geográficos <VIRGULA> demográficos <VIRGULA> etc, Animação/simulação
30, Galileo Galilei: Uma nova física e o mundo contemporâneo - Parte I, Cleber Brasil está na Rádio Atrito <VIRGULA> que funciona na escola onde estuda e conversa <VIRGULA> animadamente <VIRGULA> com o técnico de som a respeito do que um GPS (Global Position Sisten) é capaz de fazer para situar a posição de um corpo sobre a superfície da Terra. Nesse contexto o Professor Galileo Lattes (avatar do autor) entra na conversa e conduz a discussão para a antiguidade <VIRGULA> considerando aspectos do Geocentrismo com as visões de Aristóteles e Claudio Ptolomeu. Aspectos ligados ao desenvolvimento do pensamento científico e tecnológico avançam e vão encontrar Nicolau Copérnico e Galileo Galilei no Renascimento <VIRGULA> cientistas que defenderam a concepção Heliocêntrica. Através de um ‘Túnel do Tempo’ esses e outros cientistas como Isaac Newton são visitados e dialogam com o Professor Galileo Lattes. Ao final o assunto retorna ao GPS <VIRGULA> como fruto de um desenvolvimento científico e tecnológico milenar!, Áudio
31, TV Escola - Série Atividade - Ginástica para todos - parte 1, Identificar diferentes elementos da ginástica de solo. Conhecer os limites e potencialidades corporais a partir dos exercícios gímnicos. Conhecer a técnica básica de realização dos movimentos gímnicos de solo. Compreender o processo de realização dos movimentos <VIRGULA> reconhecendo os procedimentos corporais básicos para evitar possíveis acidentes. Vivenciar a execução de exercícios que combinam força <VIRGULA> agilidade <VIRGULA> flexibilidade <VIRGULA> equilíbrio e coragem durante a realização de um movimento. Experimentar possibilidades de rolar e recuperar o equilíbrio <VIRGULA> promovendo adaptação às rotações, Vídeo
32, Os Curiosos – Ondas Sonoras, Audiovisual. Aborda o tema ondas sonoras <VIRGULA> que engloba também algumas propriedades ondulatórias: timbre <VIRGULA> frequência <VIRGULA> altura e ressonância. A contextualização dessa temática ocorrerá mediante um desafio que será proposto a duas equipes de estudantes. Esse desafio será construir um instrumento sonoro e tocar uma melodia. A equipe vermelha ficará responsável por produzir um instrumento de sopro e a equipe azul ficará responsável por produzir um instrumento de percussão do tipo idiofones percutido. Durante o vídeo <VIRGULA> o físico menciona outros fenômenos ondulatórios como: reverberação <VIRGULA> batimento e efeito Doppler. Em um segundo momento <VIRGULA> para melhor exemplificar o fenômeno das ondas estacionárias <VIRGULA> o físico irá demonstrar como as ondas sonoras se propagam sobre uma superfície rígida <VIRGULA> mediante a visualização das Figuras Estacionarias de Chladni que mudam conforme a frequência normal de vibração da superfície é sintonizada e/ou ajustada, Vídeo
