,titulo,descricao_do_recurso,tipo_de_recurso
24, Estrutura atômica - Modelo Atômico de Dalton, Apresentar o modelo atômico de Dalton, Animação/simulação
25, As proteínas, Animação apresenta conceitos sobre proteínas, Animação/simulação
26, O jantar dos predadores - Parte1: Experimento prático, Este objeto apresenta parte 2, Experimento prático
27, Adaptação das raízes: raízes aéreas, Aprender sobre as raízes das plantas, Animação/simulação
28, WebCMap (Editor de Mapas Conceituais), Aprender a construir mapas conceituais, Mapa
29, Algas: aulas de campo: exercício 1, Aprender sobre talos de algas, Animação/simulação
30, Teste de Gram: parte 1: experimento prático, Características gerais das bactéria, Experimento prático
31, De onde vem o leite?, Duração: 4 min <VIRGULA> 41 s, Vídeo
32, Monge, Duração: 3 min, Vídeo
33, Vozes da cidade - Exagero, Apresentar a Hipérbole, Animação/simulação
34, Suborno [É com você<VIRGULA> cidadão], Aprender sobre suborno e corrupção, Vídeo
35, Professora Silvana [História de professor], Conhecer a história da professora Silvana, Vídeo
36, São Paulo: parte 2 [Momento Brasil], Conhecer sobre a cidade de São Paulo, Vídeo
37, Dos grilhões ao quilombo, Descrever o sistema escravista brasileiro, Vídeo
38, Circuito RC Série, Noções básicas de eletricidade, Vídeo
39, Vamos salvar os peixes?, Aprender os conceitos de ácidos e bases, Animação/simulação
40, Pião da ilusão: parte 1: experimento prático, Demonstração de efeitos de ilusão de ótica, Experimento prático
41, A placa misteriosa: parte 2: vídeo, Apresentar a fosforescência de um material, Vídeo
42, A dor e os anti-inflamatórios, Duração: 00:02:18, Áudio
43, Ovo em queda livre: parte 2: vídeo, Demonstrar o princípio da inércia, Vídeo
44, Quanto tempo leva?, Necessita de leitor de arquivos pdf, Experimento prático
45, Homologia Serial, Aprender noções básicas sobre homologia serial, Animação/simulação
46, Observação de células sanguíneas, Aprender como se faz um esfregaço sanguíneo, Animação/simulação
47, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 3.1, Despertar o interesse pelo estudo de Química, Áudio
48, Osso duro de roer, Introduzir o conceito de função exponencial, Vídeo
49, Vocação Química - Entrevista José Guerchon, Estimular a vocação para a Química, Vídeo
50, Os Curiosos – Densidade, Conceito de massa; Definição de volume, Vídeo
51, Movimento Browniano, Movimento Browniano, Vídeo
52, Achado, Duração: 3 min, Vídeo
53, Geometria com Canudos, Conhecimento em poliedros, Outros
54, Citações - Quem é o autor e quem são os autores ?, Apresentar o funcionamento da autoria, Animação/simulação
55, Almanaque Sonoro de Química - Química da Atmosfera - Parte 1, Despertar o interesse pelo estudo de Química, Áudio
56, Aquecimento Solar - bloco 1 e 2, Conceito de temperatura e calor, Áudio
57, Camada de líquidos: parte 1: experimento prático, Discutir o conceito de densidade, Experimento prático
58, Porque a luz acende, Entender a produção de energia elétrica, Animação/simulação
59, Pêndulo num trem acelerado, Executável Java, Animação/simulação
60, Ácidos graxos essenciais, Aprender sobre a importância dos ácidos graxos, Animação/simulação
61, O Fenômeno das Marés - bloco 1 e 2, Conceito de força, Áudio
62, Anita Garibaldi [Construtores do Brasil], Aprender sobre a vida de Anita Garibaldi, Vídeo
63, Pêndulo, Conceitos de força e energia mecânica, Animação/simulação
64, A violência na escola [PCN na escola: convívio escolar], Duração: 10 min <VIRGULA> 16 s, Vídeo
65, De onde vem a energia elétrica?, Duração: 4 min, Vídeo
66, Diferença entre procariotos e eucariotos, Diferenciar procariotos de eucariotos, Animação/simulação
67, A vida terrestre: níveis de organização das Briófitas e das Vasculares sem semente, Aprender sobre as plantas Briófitas, Animação/simulação
68, Ampulheta, Construir uma ampulheta, Experimento prático
69, Otto von Guericke, Apresentar a imagem de Otto von Guericke, Imagem
70, Lançamento de projétil, Conhecimentos básicos de cinemática, Animação/simulação
71, Almanaque sonoro de química - Lixo Urbano: descarte e reciclagem de materiais - Parte 4, Despertar o interesse pelo estudo da química, Áudio
72, TV Escola como propulsora de projetos interdisciplinares: parte 1 [Como fazer? A escola], Duração: 8 min <VIRGULA> 23 s, Vídeo
73, Uso de indicadores - parte2, Conhecimento em Propriedades das substâncias, Vídeo
74, Problema I, Duração: 2 min, Vídeo
75, Missão Possível, Noções básicas de Cinemática, Animação/simulação
76, Aí tem química! - Conservação de alimentos - Métodos de conservação, Aprender a conservar alimentos, Vídeo
77, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 3.1, Despertar o interesse pelo estudo da química, Áudio
78, Experimento 18 - Calculadora Analógica Óptica, Conhecimento da óptica geométrica, Experimento prático
79, Oscilações Amortecidas, Movimento de oscilação simples, Animação/simulação
80, A usina atrás do morro: parte 9 [Categorias Literárias], Despertar o interesse pela leitura, Áudio
81, Vida saudável com o sol: parte 2 [Geração saúde], Duração: 11 min <VIRGULA> 1 s, Vídeo
82, A acne: parte 1 [Geração saúde], Duração: 12 min <VIRGULA> 31 s, Vídeo
83, Jogo da descoberta dos pares, Requer o Flash Player 6 / 7, Software Educacional
84, Heinrich Friedrich Emil Lenz, Apresentar a imagem de Heinrich Lenz, Imagem
85, Uma história feita em tabelinha [Viagens de leitura], Duração: 10 min <VIRGULA> 46 s, Vídeo
86, Almanaque sonoro de química - Cosméticos - Parte 2, Despertar o interesse pelo estudo da química, Áudio
87, Vozes da cidade - Jogo dos slogans, Colocar o aluno em contato com slogans, Animação/simulação
88, Misturas homogéneas, Conhecimentos sobre propriedades e substâncias, Vídeo
89, TV Escola – Sala de Professor – Programa Quanto Pesa uma Nuvem. – Parte 04, Analisar e realizar o registro de temperatura, Vídeo
90, Pilha de concentração, Conceitos de eletroquímica, Experimento prático
91, Experimentos práticos de combinatória, Análise Combinatória, Experimento prático
92, Destilação, Apresentar a técnica de destilação fracionada, Experimento prático
93, Colisão de Galáxias, Conhecimentos de gravitação e forças de maré, Animação/simulação
94, Aneuploidia, Aprender sobre recombinação genética, Animação/simulação
95, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 1.1, Despertar o interesse pelo estudo da química, Áudio
96, Primeiros contatos [Índios no Brasil], Duração: 18 min <VIRGULA> 16 s, Vídeo
97, A conjectura de Goldbach - Parte II, 1. Apresentar a conjectura de Goldbach, Áudio
98, TV Escola – Sala de Professor – Programa Frutas e Legumes – Parte 11, Compreender como ocorre a contaminação do solo, Vídeo
99, Urso pardo, A foto foi tirada por Steve Hillebrand, Imagem
100, Exercício - RNA, Animação apresenta exercícios sobre o RNA, Animação/simulação
101, Sete erros, Comparar imagens, Experimento prático
102, H1N1 – Um Ser em Mutação, Duração: 00:02:06, Áudio
103, Motor elétrico: parte 1, Construir um o motor elétrico, Vídeo
104, Trecho do Programa da Rádio Cala-boca já morreu - Insetos, O aluno irá aprender sobre os insetos, Áudio
105, Frações [Conversa de professor], Abordar o ensino de frações, Vídeo
106, Elementos em Série (Circuitos em Série), Conhecimentos básicos de eletricidade, Vídeo
107, Prefixos, Conhecimentos básicos de leitura e escrita, Software Educacional
108, Essa eu quero ver, Conhecimentos básicos de Números e Operações, Animação/simulação
109, Vídeo Aula de Hardware Básico - HD PATA - IDE MASTER e SLAVE - SATA, Descricao do recurso nao identificado, Vídeo
110, Saúde da pele: parte 1 [Geração saúde], Duração: 15 min <VIRGULA> 40 s, Vídeo
111, Tempo [Visões do esporte], Duração: 58 s, Vídeo
112, Saberes que produzem saberes [Letra viva], Duração: 30 min <VIRGULA> 52 s, Vídeo
113, Paranapiacaba [Aula lá fora], Duração: 28 min <VIRGULA> 37 s, Vídeo
114, Circuitos em Paralelo, Conhecimentos básicos de Eletricidade, Vídeo
115, Projeto interdisciplinar: escola e comunidade: parte 1 [Como fazer? A escola], Duração: 19 min <VIRGULA> 27 s, Vídeo
116, Minhocuçu: Conservação e Sustentabilidade, Duração: 00:02:26, Áudio
117, O sindicalismo no Brasil: vida de sindicalista [Câmara informa], Aprender sobre os movimentos sindicalistas, Vídeo
118, Bananeira, Duração: 00:05:09, Áudio
119, Wilhelm Eduard Weber, Apresentar uma imagem de Wilhelm Weber, Imagem
120, TV Escola – Sala de Professor – Programa Frutas e Legumes – Parte 05, Debater o uso dos agrotóxicos na agricultura, Vídeo
121, Nós viemos dos macacos?: parte 2: vídeo, Disponibilizar informações sobre os macacos, Vídeo
122, Incentivo à pesquisa: parte 1 [Como fazer? A escola], Duração: 11 min <VIRGULA> 35 s, Vídeo
123, Árvore evolutiva da família Elephantidae, Ilustrar a evolução da família Elephantidae, Imagem
124, Teste do iodo, Demonstrar a ação da saliva sobre o amido, Vídeo
125, Math1_Reference_27_01, Conceito de função logarítmica e exponencial, Animação/simulação
126, Almanaque sonoro de química - Conservação de Alimentos - Parte 2.1, Despertar o interesse pelo estudo da química, Áudio
127, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 3, Despertar o interesse pelo estudo da química, Áudio
128, Localização do Aquífero Guarani e a importância das águas subterrâneas, Duração: 04:45 min., Áudio
129, Steven<VIRGULA> o americano [Escolhi viver aqui], Duração: 6 min <VIRGULA> 14 s, Vídeo
130, Almanaque sonoro de química - Lixo Urbano: descarte e reciclagem de materiais - Parte 1.1, Despertar o interesse pelo estudo da química, Áudio
131, Inflamação – um mal quase necessário, Duração: 00:03:12, Áudio
132, Morcego (Lasiurus cinereus), A foto foi tirada por Paul Cryan, Imagem
133, As plantas e a luz: exercício 1, Aprender alguns conceitos de botânica, Animação/simulação
134, As aves também têm malária, Duração: 00:02:34, Áudio
135, TV Escola – Sala de Professor – Programa Os Quartetos – Parte 09, Analisar e compreender o Modernismo brasileiro, Vídeo
136, O corpo humano e a tabela periódica, Conhecer a Tabela Periódica, Animação/simulação
137, De onde vem o pão?, Duração: 4 min <VIRGULA> 32 s, Vídeo
138, Monteiro Lobato, Conhecer a vida e a obra de Monteiro Lobato, Vídeo
139, Aminoácidos, Aprender sobre aminoácidos, Animação/simulação
140, A cabanagem - Discurso do colonizador - Episódio II, Consultar o guia do professor, Animação/simulação
141, Boa viagem<VIRGULA> Ibantu [Índios no Brasil], Apresentar a cultura do índio Krahô, Vídeo
142, Professor André [História de professor], Conhecer o trabalho do professor André, Vídeo
143, TV Escola – Sala de Professor – Programa Enxame<VIRGULA> Bandos e Cardumes – Parte 03, Realizar atividades - aplicativos da WEB 2.0, Vídeo
144, Almanaque sonoro de química - Cosméticos - Parte 2.1, Despertar o interesse pelo estudo da química, Áudio
145, Microevolução e macroevolução, Diferenciar microevolução de macroevolução, Animação/simulação
146, Conhecendo a Cannabis sativa, Duração: 00:02:17, Áudio
147, Glicosilação 2: complexo de Golgi, Identificar uma função do complexo de Golgi, Animação/simulação
148, Filhos da terra [Índios no Brasil], Duração: 17 min <VIRGULA> 9 s, Vídeo
149, O crivo de Eratóstenes, Conhecer a ideia básica de números primos, Software Educacional
150, Tamanho e constituição das proteínas, Aprender sobre proteínas e aminoácidos, Animação/simulação
151, Guia de Néctar - Parte 2: Vídeo, Conhecimento sobre polinizadores, Vídeo
152, Dengue 2 [Sala de convidados], Discutir sobre a dengue e a febre amarela, Vídeo
153, Viagens do Chiquinho - Inglaterra, Aprender sobre a cultura da Inglaterra, Outros
154, Aí tem química! - Isomeria - Química Orgânica, Compreender o conceito de isomeria, Vídeo
155, Cobra-cega [Tempo de brincar], Aprender como brincar de cobra-cega, Vídeo
156, Quente ou frio: parte 1: experimento prático, Conceituar e diferenciar calor e temperatura, Experimento prático
157, Medidas [Conversa de professor], Desenvolver o raciocínio lógico do aluno, Vídeo
158, Loxosceles e seu veneno: aparências que enganam, Duração: 00:03:17, Áudio
159, Avaliação escolar, Duração: 28 min <VIRGULA> 14 s, Áudio
160, Cabelo, Duração: 00:05:40, Áudio
161, Equilíbrio Químico do íon bicarbonato: Efeito da concentração: parte 1: experimento prático, Equilíbrio químico e príncipio de Le Chatelier, Experimento prático
162, Simetria, Noções de figuras geométricas, Animação/simulação
163, Toda criança na escola [PCN na escola: convívio escolar], Duração: 12 min <VIRGULA> 31 s, Vídeo
164, Reações fotoquímicas - A Fotoquímica na vida, Identificar as reações fotoquímicas, Animação/simulação
165, Evapotranspiração, Descrever o processo de evapotranspiração, Animação/simulação
166, Experimento de Milikan, Conceitos de atomística, Vídeo
167, A viagem de Kemi - Funções químicas e reatividade - Reativos: pra lá e pra cá, Exercitar a fila de reatividade dos metais, Animação/simulação
168, Vozes da cidade - Deslizes, Enfatizar a importância da revisão de textos, Animação/simulação
169, A travessia do rio, Estudar a composição de velocidade, Animação/simulação
170, Jejuno e íleo: parte 2 [Anatomia], Apresentar estruturas do jejuno e íleo, Vídeo
171, Protocolo: experimentos com água - experiência 1, Demonstrar como ocorre o processo de ebulição, Experimento prático
172, Bússola, Construir uma bússola, Experimento prático
173, Que Saco!, 1. Mostrar uma aplicação de logarítmicos, Vídeo
174, Almanaque Sonoro de Química - Química da Atmosfera - Parte 3, Despertar o interesse pelo estudo de Química, Áudio
175, Almanaque Sonoro de Química - Lixo Urbano descarte e reciclagem de materiais - Parte 3, Despertar o interesse pelo estudo da Química, Áudio
176, As citocininas e giberelinas: exercício 1: jogo da bomba, Aprender sobre hormônios vegetais, Animação/simulação
177, Frações algébricas, Aprender a simplificar frações algébricas, Animação/simulação
178, TV Escola como propulsora de projetos interdisciplinares: parte 3 [Como fazer? A escola], Duração: 14 min <VIRGULA> 56 s, Vídeo
179, Obtendo uma aproximação para pi, Geometria plana; Círculo; Circunferência, Experimento prático
180, Adaptações dos caules: exercício 1, Aprender sobre caules, Animação/simulação
181, Conversa Periódica - Propriedades Químicas - Eletronegatividade, Conceituar eletronegatividade, Vídeo
182, Canudos e Contestado: guerras de Deus e do Diabo: parte 1 [Brasil 500 anos: o Brasil-República na TV], Duração: 8 min, Vídeo
183, Colisão elástica e inelástica, Conceito de massa e velocidade, Animação/simulação
184, Códon e anticódon, Analisar o reconhecimento códon-anticódon, Animação/simulação
185, Aí tem química! - Solubilidade II, Compreender o conceito de solubilidade, Vídeo
186, Que peninha! - Parte 2: Vídeo, Apresenta parte 1 e 3, Vídeo
187, TV Escola – Sala de Professor – Programa Lima Barreto – Parte 07, Desenvolver a atividade interdisciplinar, Vídeo
188, Generator, Conceitos de eletricidade e magnetismo, Animação/simulação
189, Ficha ar 11: pressão atmosférica e seus efeitos, Demonstrar a ação da pressão atmosférica, Experimento prático
190, Minibasquete, Conhecimentos básicos de basquete, Software Educacional
191, Origens: parte 3 [A cor da cultura: mojubá], Duração: 7 min <VIRGULA> 44 s, Vídeo
192, Salvador (BA) [Breve História das Capitais Brasileiras], Duração: 22 min <VIRGULA> 59 s, Vídeo
193, Do papiro à tela do computador [Livros etc.], Apresentar formas de ensinar a escrita, Vídeo
194, Vozes da cidade - Litotes e Hipérboles, Apresentar a Lítotes e a Hipérbole, Animação/simulação
195, Incentivo à pesquisa: parte 3 [Como fazer? A escola], Duração: 20 min <VIRGULA> 30 s, Vídeo
196, Lord Kelvin, Apresentar a imagem de Lord Kelvin, Imagem
197, Ovelinhas, Necessita de software leitor de pdf, Experimento prático
198, Frases Célebres - Epigramas, Apresentar a análise de epigramas, Animação/simulação
199, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 4.1, Despertar o interesse pelo estudo da química, Áudio
200, Cálculo e raciocínio [Conversa de professor], Duração: 14 min <VIRGULA> 15 s, Vídeo
201, As lipoproteínas, Aprender sobre lipoproteínas, Animação/simulação
202, Frases Célebres - Epigramas na Grécia Antiga, Apresentar a história e análise de epigramas, Animação/simulação
203, Vocação Química - Entrevista Jo Dweck, Estimular a vocação para a Química, Vídeo
204, Small-Molecule Microarrays, Entender a tecnologia de micro raios, Vídeo
205, Escorpião amarelo e seus mistérios científicos, Duração: 00:02:26, Áudio
206, TV Escola – Sala de Professor – Programa Os Quartetos – Parte 06, Analisar e compreender o contexto histórico, Vídeo
207, Um ponto de vista, Introduzir o Plano Cartesiano, Vídeo
208, Empirismo, Aprender o que é o empirismo, Vídeo
209, Câncer de pele: parte 1 [Geração saúde], Duração: 16 min <VIRGULA> 23 s, Vídeo
210, Os rios praias oceanos e mares, Duração: 12 min <VIRGULA> 3 s, Áudio
211, Português popular, Navegador com plugin do Flash 8 ou superior, Animação/simulação
212, De onde vem o arco-íris?, Duração: 4 min, Vídeo
213, Almanaque Sonoro de Química - Energia Nuclear e Impacto Ambiental - Parte 1.1, Despertar o interesse pelo estudo da química, Áudio
214, Densidade, Discutir o conceito de densidade, Animação/simulação
215, Adaptações do caule: Lianas, Aprender sobre cipós, Animação/simulação
216, O espirro como interação social, Auxiliar no estudo das interações sociais, Imagem
217, Tutorial Word 2013: Interface, Apresentar ao aluno a interface do Word 2013, Vídeo
218, Amostragem e análise de fenótipo, Aprender a calcular amostragens, Animação/simulação
219, A luz vermelha como sinalizador do ambiente, Aprender sobre a influência da luz nas plantas, Animação/simulação
220, A vida aquática: adaptações morfológicas e fisiológicas: introdução, Aprender sobre as algas, Animação/simulação
221, Professor Leandro [História de professor], Conhecer a história do professor Leandro, Vídeo
222, Cloroplastos, Animação do processo de fotossíntese, Animação/simulação
223, Garrafa chuveiro 1, Demonstrar a ação da pressão atmosférica, Experimento prático
224, Complexo de Golgi, Identificar as partes do complexo de Golgi, Animação/simulação
225, Cromatografia de corantes alimentares, Aplicar as técnicas de cromatografia em papel, Experimento prático
226, Rondon e os índios brasileiros: segunda parte, Duração: 19 min <VIRGULA> 53 s, Vídeo
227, Canudos e Contestado: guerras de Deus e do Diabo: parte 3 [Brasil 500 anos: o Brasil-República na TV], Duração: 4 min <VIRGULA> 18 s, Vídeo
228, As plantas e a luz: introdução, Aprender sobre a fotossíntese, Animação/simulação
229, Mercurio y Venus, Conceitos básicos de Astronomia, Vídeo
230, Almanaque Sonoro de Química - Química da Atmosfera - Parte 1.2, Despertar o interesse pelo estudo de Química, Áudio
231, Escala de pH, Misturas; Logaritmo; Mol, Animação/simulação
232, Dinamômetro com elástico, Duração: Uma aula dupla, Experimento prático
233, Jornal [Aula lá fora], Duração: 17 min <VIRGULA> 56 s, Vídeo
234, Cebolas e choro, Conhecimento de reações químicas, Áudio
235, A descoberta da herança ligada ao sexo, Aprender sobre herança genética, Animação/simulação
236, Kung Fu da inércia: parte 1: experimento prático, Demonstrar o princípio da inércia, Experimento prático
237, Fazenda RIVED versão 2, Noções intuitivas do conceito de número, Animação/simulação
238, Ciclo de vida de equinodermos (com libras), Apresentar o ciclo de vida de equinodermos, Vídeo
239, Hipócrita, Apresentar a origem da palavra \hipócrita\, Vídeo
240, Math1_Binome_03_01, Apresentar o Princípio Fundamental da Contagem, Animação/simulação
241, Oscilador Quártico, Executável Java, Animação/simulação
242, Falando de genes e proteínas, Duração: 00:02:50, Áudio
243, Matéria, Conhecer a cultura das colônias portuguesas, Vídeo
244, As citocininas e giberelinas: introdução, Aprender sobre hormônios vegetais, Animação/simulação
245, Ficha ar 6: propriedades do ar - o ar ocupa espaço e pode comprimir-se, Comprovar a existência do ar, Experimento prático
246, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 1, Despertar o interesse pelo estudo da química, Áudio
247, Controlando a Malária, Duração: 00:02:09, Áudio
248, Números, Conhecimento em decomposição numérica, Software Educacional
249, Números Primos - Parte II, 1. Provar que existem infinitos números primos, Áudio
250, Adaptações morfológicas: fitobentos, Aprender sobre organismos marinhos, Animação/simulação
251, A cabanagem - Episódio I, Consultar o guia do professor, Vídeo
252, Almanaque Sonoro de Química - Química da Atmosfera - Parte 3.1, Despertar o interesse pelo estudo de Química, Áudio
253, iGeom, Conceitos e propriedades de figuras planas, Animação/simulação
254, A vida microscópica: Diversidade, Apresenta a diversidade da vida microscópica, Vídeo
255, Vocação Química - Entrevista Daniel Vidal, Estimular a vocação para a Química, Vídeo
256, Incêndio na floresta, Noções básicas de cinemática, Animação/simulação
257, Três - vez, Duração: 3 min, Vídeo
258, Mago da física - propagação de energia - aplicação, Mostrar a propagação da energia, Vídeo
259, De onde vem o dia e a noite?, Duração: 4 min <VIRGULA> 38 s, Vídeo
260, Periscópio, Construir um periscópio, Experimento prático
261, Moeda que pula, Demonstrar a ação da pressão do ar, Experimento prático
262, A vida aquática: adaptações: exercício: 3, Aprender sobre as algas, Animação/simulação
263, Rede [Visões do esporte], Duração: 1 min <VIRGULA> 24 s, Vídeo
264, Trombadas, Noções básicas de cinemática, Animação/simulação
265, A flor e o indicador: parte 2: vídeo, Conceito de ácido e base, Vídeo
266, More on orbitals and electron configuration, Conhecimento básico sobre estrutura atômica, Vídeo
267, Poliacrilato<VIRGULA> o superabsorvente: parte 1: experimento prático, Conceitos de osmose e concentração de soluções, Experimento prático
268, Testador de condutividade: parte 1: experimento prático, Montar um testador de condutividade elétrica, Experimento prático
269, Exemplo de anaerobiose, Apresenta um exemplo de anaerobiose, Animação/simulação
270, Mancha de pele: parte 2 [Geração saúde], Duração: 9 min <VIRGULA> 4 s, Vídeo
271, Construção social da infância, Apoiar o conhecimento sobre a infância, Animação/simulação
272, Tudo se Transforma - Linus Pauling - A História da Química contada por suas descobertas, Identificar as contribuições de Linus Pauling, Vídeo
273, Um mundo imerso em palavras [Um mundo de letras], Duração: 22 min <VIRGULA> 15 s, Vídeo
274, Almanaque Sonoro de Química - Química na Agricultura - Parte 2.1, Despertar o interesse pelo estudo de Química, Áudio
275, Misturas heterogéneas, Conhecimentos sobre propriedades e substâncias, Vídeo
276, Duplos poços de potenciais e ligações covalentes, Investigar a energia em poços quânticos duplos, Animação/simulação
277, Trapalhadas da vovó Mafalda, Aplicar conceitos de reações de ácido base, Animação/simulação
278, Avaliação pré-anestésica: parte 1 [Anestesiologia], Aprender conceitos de anestesiologia, Vídeo
279, DNA 01, Conhecimento básico de genética, Áudio
280, Toda lagarta vira borboleta... ou mariposa - Parte 2: Vídeo, Demonstrar a metamorfose em insetos, Vídeo
281, Onde fica a lixeira?, Duração: Uma aula dupla, Experimento prático
282, Cortar cubos, Apresentar a Relação de Euler aos alunos, Experimento prático
283, Quanto pesa?, Conhecer as unidades de medida de massa, Experimento prático
284, Canudos e Contestado: guerras de Deus e do Diabo: parte 2 [Brasil 500 anos: o Brasil-República na TV], Duração: 8 min, Vídeo
285, Táxi e combinatória, Duração: Uma aula dupla, Experimento prático
286, Adição e subtração decimal, Adição e subtração de inteiros, Animação/simulação
287, Adaptação das folhas: exercício 3, Aprender sobre as folhas das plantas, Animação/simulação
288, TV Escola – Sala de Professor – Programa A maestria do voo – Parte 02, Compreender e identificar as adaptações do voo, Vídeo
289, O que é conhecimento?, Aprender o que é conhecimento para a filosofia, Vídeo
290, Sadi Carnot, Apresentar uma imagem de Sadi Carnot, Imagem
291, As auxinas: o primeiro hormônio: exercício 2, Aprender sobre botânica, Animação/simulação
292, Ciência di Buteco: Palito, Demonstrar o fenômeno da capilaridade, Vídeo
293, Experiência O gelo flutua?, Noções básicas densidade, Vídeo
294, Grande Hotel, Conjuntos infinitos, Vídeo
295, Almanaque sonoro de química - Combustíveis : A química que move o mundo - Parte 1.1, Despertar o interesse pelo estudo da química, Áudio
296, Almanaque sonoro de química - Conservação de Alimentos - Parte 1.1, Despertar o interesse pelo estudo químico, Áudio
297, Cromatografia, Conhecimentos em propriedades das substâncias, Vídeo
298, Enchendo o saco, Mostrar o volume de um mol de gás, Experimento prático
299, Depressão pós-parto, Conhecer e tratar a depressão pós-parto, Áudio
300, José de Alencar<VIRGULA> o múltiplo [Mestres da literatura], Duração: 28 min, Vídeo
301, Adaptações dos caules: exercício 2, Aprender sobre caules, Animação/simulação
302, O super dinheiro, Discutir processos endotérmicos e exotérmicos, Experimento prático
303, Adaptações morfológicas: fitoplâncton, Aprender sobre fitoplânctons, Animação/simulação
304, Filipe Camarão [Construtores do Brasil], Aprender sobre a história de Filipe Camarão, Vídeo
305, O parto de um livro [Viagens de leitura], Duração: 12 min <VIRGULA> 50 s, Vídeo
306, Máquina de Heron, Energia e conversão da energia, Animação/simulação
307, Esqueletos no espaço, Duração: Uma aula dupla, Experimento prático
308, De quantas maneiras posso passar meu cadarço?, Duração: Uma aula simples, Experimento prático
309, Aprendendo sobre a Revolução Farroupilha, Duração: 28 min <VIRGULA> 15 s, Áudio
310, Armónicos, Explicar o conceito de harmônicos, Vídeo
311, TV Escola – Sala de Professor – Programa A grande história dos mapas – Parte 06, Analisar e interpretar as imagens, Vídeo
312, As frutas 2, Desenvolver a linguagem e a coordenação motora, Software Educacional
313, Almanaque sonoro de química - Lixo Urbano: descarte e reciclagem de materiais - Parte 4.1, Despertar o interesse pelo estudo da química, Áudio
314, Protocolo: comportamento dos materiais face à variação de temperatura - experiência 2, Demonstrar o processo de solidificação, Experimento prático
315, Chiclete, Duração: 3 min, Vídeo
316, Estradas para estação, Duração: Uma aula dupla, Experimento prático
317, Catedrais de Andaluzia, Conhecer a história da cidade, Software Educacional
318, A vida no Brasil Colônia [Brasil 500 anos: o Brasil-Colônia na TV], Duração: 7 min <VIRGULA> 45 s, Vídeo
319, A cabanagem - Episódio II, Consultar o guia do professor, Vídeo
320, Math1_Deriv_04_01_03, Estudar a equação reduzida da reta, Animação/simulação
321, Adaptando uma chapa térmica: parte 2: vídeo, Construir uma chapa térmica adaptada, Vídeo
322, Oscilador estranho, Executável Java, Animação/simulação
323, A Falácia do Eucalipto, Duração: 00:02:33, Áudio
324, Química: uma ciência conservadora?: parte 1: experimento prático, Discutir a Lei de Conservação das Massas, Experimento prático
325, O gesto<VIRGULA> a voz e a palavra escrita [Livros etc.], Duração: 11 min <VIRGULA> 40 s, Vídeo
326, Linus Pauling, Apresentar a imagem de Linus Pauling, Imagem
327, Boneco ecológico, Observar o crescimento das plantas, Experimento prático
328, Math1_Integrale_10_01, Estudar as propriedades de integrais, Animação/simulação
329, Do outro lado do céu [Índios no Brasil], Duração: 18 min <VIRGULA> 30 s, Vídeo
